num_extlinks	num_pages
2	595809
1	523800
3	505270
4	458650
5	342766
6	303602
7	283755
8	249751
9	218155
10	189931
11	164760
12	143424
13	124135
14	108354
15	94741
16	83020
17	72515
18	63799
19	55581
20	49271
21	43384
22	38581
23	34286
24	30315
25	27338
26	24626
27	22555
28	20538
29	18604
30	17273
31	15834
32	14728
33	13545
34	12536
35	11587
36	10986
37	10106
38	9599
39	9003
40	8436
41	8016
42	7391
43	6994
44	6671
45	6182
46	5825
47	5507
48	5350
49	5024
50	4703
52	4599
51	4543
53	4347
54	4182
55	3793
56	3663
57	3512
59	3335
58	3182
60	3108
62	2847
61	2757
63	2718
64	2570
65	2530
66	2484
67	2426
68	2321
70	2162
69	2158
71	2055
72	2019
73	1900
75	1892
74	1848
76	1822
77	1704
78	1682
79	1578
81	1523
80	1512
84	1446
82	1440
83	1418
86	1394
85	1349
88	1287
87	1257
89	1228
90	1215
92	1129
93	1125
91	1111
94	1091
96	1043
95	1024
98	1000
97	985
99	976
100	961
101	917
103	896
102	895
105	854
107	852
104	815
106	804
108	789
110	777
111	742
109	737
113	691
112	672
114	653
115	622
116	614
118	597
120	580
117	565
121	559
119	542
123	522
124	521
2001	521
122	518
125	517
128	498
127	494
130	480
132	472
126	466
131	449
134	435
129	434
133	432
135	405
136	398
138	398
144	393
137	389
141	383
140	371
147	343
143	342
139	339
148	332
149	332
142	328
153	328
151	326
152	322
145	318
146	306
150	297
154	290
155	280
159	279
157	261
165	257
160	256
161	253
156	248
162	247
163	238
164	237
158	236
170	227
174	225
168	225
172	221
166	221
167	221
169	221
171	220
177	218
173	214
176	211
183	198
180	195
175	186
198	182
179	181
181	180
182	176
178	173
195	173
193	169
186	168
184	166
185	163
196	162
194	159
189	158
187	156
197	152
205	150
192	149
188	149
191	148
190	147
202	142
200	140
210	137
208	137
204	136
213	130
199	129
203	125
209	124
206	122
211	119
201	118
212	117
231	116
207	111
218	110
225	109
215	107
214	106
232	106
219	105
230	101
226	101
239	97
216	97
217	95
228	95
255	94
221	94
229	93
224	91
233	91
222	91
227	90
223	90
220	88
240	88
242	86
235	84
234	83
237	83
241	83
245	83
248	81
236	80
258	79
257	79
254	79
249	79
243	79
247	77
244	77
251	76
252	74
262	73
273	72
238	72
246	71
263	68
271	68
459	66
256	65
253	65
279	63
266	63
250	62
290	62
282	61
260	60
269	58
267	57
264	57
272	57
277	56
286	53
275	52
270	52
274	51
268	51
259	50
301	50
293	50
298	49
278	49
294	48
287	48
265	48
261	48
297	47
285	47
280	47
291	47
292	47
313	47
283	46
328	45
289	44
288	44
308	44
281	44
300	44
295	43
303	42
311	42
284	42
299	41
296	40
344	40
316	39
276	37
326	37
315	37
333	37
321	37
318	36
324	36
336	36
325	36
317	36
312	36
310	35
304	35
360	35
302	35
359	35
323	35
306	34
319	34
364	34
335	33
343	33
356	33
309	33
314	32
330	32
331	31
337	31
373	31
353	31
307	31
334	30
350	29
320	29
385	29
305	29
