num_extlinks	num_pages
2	1659
1	1571
3	1544
4	1515
7	1301
6	1280
5	1275
8	1256
9	1216
10	1078
11	1016
12	971
13	871
14	864
15	783
16	747
17	661
18	607
19	573
21	487
20	486
22	440
23	409
24	384
26	338
25	313
28	303
29	282
30	276
27	274
31	242
32	235
34	226
36	203
37	202
33	196
40	175
38	174
35	165
39	164
43	145
41	134
42	132
45	128
46	127
44	126
48	126
47	118
49	104
54	104
53	100
59	94
50	91
52	90
57	88
51	87
63	87
56	86
55	84
61	78
60	72
65	68
58	68
64	66
74	61
62	61
67	59
68	57
69	56
70	55
66	52
73	52
77	50
75	46
71	45
80	44
79	44
89	44
76	44
72	43
83	43
90	41
78	39
85	37
92	37
95	37
86	36
81	36
94	36
106	36
93	35
84	35
82	34
96	34
87	33
100	32
97	32
99	32
91	31
98	29
105	29
101	27
88	27
119	26
108	25
104	25
113	25
103	25
124	24
102	23
110	22
123	22
122	22
114	21
111	21
109	20
115	20
125	20
130	20
118	19
138	19
127	19
116	19
142	18
128	18
146	18
141	18
131	17
121	17
177	16
112	16
135	16
136	15
150	15
107	15
134	15
117	14
144	14
148	14
157	13
133	13
132	13
165	13
129	13
152	13
149	12
143	12
180	12
193	12
161	12
174	12
200	11
164	11
151	11
159	11
120	11
166	11
169	11
154	11
173	11
190	10
176	10
153	10
210	10
198	10
140	10
126	10
137	10
171	10
145	10
155	9
147	9
162	9
156	9
195	9
183	9
185	8
158	8
199	8
160	8
240	8
163	8
170	8
187	8
215	7
139	7
218	7
225	7
192	7
167	7
172	7
189	7
227	7
202	7
197	6
191	6
186	6
175	6
273	6
181	6
244	6
209	6
257	5
168	5
179	5
298	5
263	5
222	5
228	5
182	5
221	5
178	5
230	5
216	5
293	5
232	5
201	5
277	5
203	5
247	5
184	5
213	5
353	4
258	4
385	4
226	4
208	4
237	4
309	4
194	4
368	4
317	4
249	4
248	4
290	4
243	4
312	3
214	3
476	3
211	3
251	3
250	3
229	3
235	3
274	3
282	3
433	3
371	3
318	3
188	3
236	3
322	3
270	3
283	3
231	3
329	3
241	3
404	3
204	3
413	3
256	3
372	3
262	3
261	3
239	3
338	3
255	3
286	3
212	3
323	3
281	3
292	3
275	3
449	3
310	3
319	3
205	3
267	3
233	3
207	3
512	2
367	2
325	2
259	2
311	2
487	2
349	2
377	2
354	2
301	2
394	2
266	2
272	2
524	2
618	2
480	2
219	2
381	2
223	2
300	2
335	2
331	2
340	2
220	2
254	2
268	2
324	2
276	2
419	2
339	2
206	2
396	2
326	2
260	2
393	2
269	2
314	2
395	2
382	2
265	2
384	2
299	2
327	2
285	2
224	2
422	2
279	2
196	2
296	2
271	2
295	2
415	1
386	1
594	1
343	1
759	1
584	1
474	1
402	1
620	1
2480	1
529	1
423	1
453	1
383	1
513	1
370	1
737	1
305	1
253	1
405	1
604	1
288	1
245	1
401	1
457	1
242	1
369	1
428	1
416	1
408	1
345	1
430	1
438	1
388	1
378	1
591	1
376	1
471	1
485	1
838	1
375	1
346	1
359	1
718	1
280	1
287	1
573	1
506	1
348	1
234	1
490	1
551	1
517	1
963	1
387	1
355	1
499	1
278	1
809	1
332	1
297	1
315	1
392	1
252	1
344	1
526	1
465	1
463	1
217	1
432	1
610	1
264	1
693	1
238	1
294	1
689	1
583	1
442	1
284	1
507	1
347	1
579	1
643	1
949	1
704	1
469	1
337	1
632	1
426	1
414	1
514	1
441	1
537	1
417	1
356	1
334	1
328	1
1036	1
634	1
363	1
572	1
291	1
246	1
1117	1
486	1
